Key,Value
Date,5/25/2023 2:11:46 PM
Id,1
Status,New
pretTotal,20
produseComanda[0].Id,1
produseComanda[0].ComandaId,1
produseComanda[0].ProductId,1
produseComanda[0].quantity,1
Date,5/25/2023 2:16:41 PM
Id,2
Status,New
pretTotal,20
produseComanda[0].Id,2
produseComanda[0].ComandaId,2
produseComanda[0].ProductId,1
produseComanda[0].quantity,1
Date,5/25/2023 2:16:41 PM
Id,3
Status,New
pretTotal,13
produseComanda[0].Id,3
produseComanda[0].ComandaId,3
produseComanda[0].ProductId,2
produseComanda[0].quantity,1
produseComanda[1].Id,4
produseComanda[1].ComandaId,3
produseComanda[1].ProductId,3
produseComanda[1].quantity,1
Date,5/25/2023 8:22:00 PM
Id,4
Status,New
pretTotal,23
produseComanda[0].Id,5
produseComanda[0].ComandaId,4
produseComanda[0].ProductId,2
produseComanda[0].quantity,1
produseComanda[1].Id,6
produseComanda[1].ComandaId,4
produseComanda[1].ProductId,4
produseComanda[1].quantity,1
Date,5/25/2023 8:29:00 PM
Id,5
Status,New
pretTotal,23
produseComanda[0].Id,7
produseComanda[0].ComandaId,5
produseComanda[0].ProductId,2
produseComanda[0].quantity,5
produseComanda[1].Id,8
produseComanda[1].ComandaId,5
produseComanda[1].ProductId,1
produseComanda[1].quantity,1
produseComanda[2].Id,9
produseComanda[2].ComandaId,5
produseComanda[2].ProductId,2
produseComanda[2].quantity,1
produseComanda[3].Id,10
produseComanda[3].ComandaId,5
produseComanda[3].ProductId,4
produseComanda[3].quantity,1
produseComanda[4].Id,11
produseComanda[4].ComandaId,5
produseComanda[4].ProductId,1
produseComanda[4].quantity,1
produseComanda[5].Id,12
produseComanda[5].ComandaId,5
produseComanda[5].ProductId,4
produseComanda[5].quantity,3
Date,5/25/2023 2:39:51 PM
Id,6
Status,string
pretTotal,100
produseComanda[0].Id,13
produseComanda[0].ComandaId,6
produseComanda[0].ProductId,1
produseComanda[0].quantity,5
Date,5/25/2023 7:31:57 PM
Id,8
Status,New
pretTotal,70
produseComanda[0].Id,17
produseComanda[0].ComandaId,8
produseComanda[0].ProductId,1
produseComanda[0].quantity,2
produseComanda[1].Id,18
produseComanda[1].ComandaId,8
produseComanda[1].ProductId,3
produseComanda[1].quantity,3
produseComanda[2].Id,19
produseComanda[2].ComandaId,8
produseComanda[2].ProductId,4
produseComanda[2].quantity,1
Date,5/25/2023 8:19:53 PM
Id,9
Status,New
pretTotal,0
produseComanda[0].Id,20
produseComanda[0].ComandaId,9
produseComanda[0].ProductId,3
produseComanda[0].quantity,0
produseComanda[1].Id,21
produseComanda[1].ComandaId,9
produseComanda[1].ProductId,4
produseComanda[1].quantity,0
Date,5/25/2023 8:20:16 PM
Id,10
Status,New
pretTotal,20
produseComanda[0].Id,22
produseComanda[0].ComandaId,10
produseComanda[0].ProductId,3
produseComanda[0].quantity,1
produseComanda[1].Id,23
produseComanda[1].ComandaId,10
produseComanda[1].ProductId,4
produseComanda[1].quantity,1
Date,5/25/2023 8:21:37 PM
Id,11
Status,New
pretTotal,20
produseComanda[0].Id,24
produseComanda[0].ComandaId,11
produseComanda[0].ProductId,3
produseComanda[0].quantity,1
produseComanda[1].Id,25
produseComanda[1].ComandaId,11
produseComanda[1].ProductId,4
produseComanda[1].quantity,1
produs.name,pizza
produs.Id,1
produs.stoc,5
produs.pret,20
numberOfOrders,11
rank,0
produs.name,legume mexicane
produs.Id,2
produs.stoc,10
produs.pret,8
numberOfOrders,8
rank,1
produs.name,gratar de pui
produs.Id,4
produs.stoc,20
produs.pret,15
numberOfOrders,8
rank,2
produs.name,ciorba ardeleneasca
produs.Id,3
produs.stoc,15
produs.pret,5
numberOfOrders,6
rank,3
